AccountCode,AccountDescription,AccountCombined
5365,COST OF SALES - NEW INDUSTRIAL EQUIPMENT,5365-COST OF SALES - NEW INDUSTRIAL EQUIPMENT
5368,COST OF SALES - NEW PUMP EQUIPMENT,5368-COST OF SALES - NEW PUMP EQUIPMENT
5410,COST OF SALES - SITE SERVICES FLEET,5410-COST OF SALES - SITE SERVICES FLEET
5430,COST OF SALES -  EARTH MOVING RENTAL FLEET,5430-COST OF SALES -  EARTH MOVING RENTAL FLEET
5440,COST OF SALES - ELECTRICAL RENTAL FLEET,5440-COST OF SALES - ELECTRICAL RENTAL FLEET
5441,COST OF SALES - COMPRESSOR RENTAL FLEET SMALL,5441-COST OF SALES - COMPRESSOR RENTAL FLEET SMALL
5443,COST OF SALES - COMPRESSOR RENTAL FLEET LARGE,5443-COST OF SALES - COMPRESSOR RENTAL FLEET LARGE
5446,COST OF SALES - POWER RENTAL FLEET LARGE,5446-COST OF SALES - POWER RENTAL FLEET LARGE
5450,COST OF SALES - PARTS USED FINNING ROLLOUT,5450-COST OF SALES - PARTS USED FINNING ROLLOUT
5455,COST OF SALES - SHORING RENTAL FLEET,5455-COST OF SALES - SHORING RENTAL FLEET
5456,COST OF SALES - POWER RENTAL FLEET SMALL,5456-COST OF SALES - POWER RENTAL FLEET SMALL
5457,COST OF SALES - FORKLIFT RENTAL FLEET,5457-COST OF SALES - FORKLIFT RENTAL FLEET
5458,COST OF SALES - HCIAQ RENTAL FLEET LARGE,5458-COST OF SALES - HCIAQ RENTAL FLEET LARGE
5460,COST OF SALES - FREIGHT USED FINNING ROLLOUT,5460-COST OF SALES - FREIGHT USED FINNING ROLLOUT
5461,COST OF SALES - HCIAQ RENTAL FLEET SMALL,5461-COST OF SALES - HCIAQ RENTAL FLEET SMALL
5465,COST OF SALES - INDUSTRIAL RENTAL FLEET,5465-COST OF SALES - INDUSTRIAL RENTAL FLEET
5468,COST OF SALES - PUMP RENTAL FLEET,5468-COST OF SALES - PUMP RENTAL FLEET
5470,COST OF SALES - THIRD PARTY/LABOR FINNING ROLLOUT,5470-COST OF SALES - THIRD PARTY/LABOR FINNING ROLLOUT
5480,COST OF SALES - INTERNAL LABOR FINNING ROLLOUT,5480-COST OF SALES - INTERNAL LABOR FINNING ROLLOUT
5490,COST OF SALES - SHOP SUPPLIES FINNING ROLLOUT,5490-COST OF SALES - SHOP SUPPLIES FINNING ROLLOUT
5700,INTERCOMPANY COST OF SALES - NEW EQUIPMENT,5700-INTERCOMPANY COST OF SALES - NEW EQUIPMENT
5710,INTERCOMPANY COST OF SALES - RENTAL FLEET,5710-INTERCOMPANY COST OF SALES - RENTAL FLEET
5720,INTERCOMPANY COST OF SALES - USED EQP,5720-INTERCOMPANY COST OF SALES - USED EQP
6010,EMPLOYEE SHARE PURCHASE CONTRIBUTION,6010-EMPLOYEE SHARE PURCHASE CONTRIBUTION
6015,WAGES & SALARIES,6015-WAGES & SALARIES
6016,WAGES & SALARIES MECHANICS,6016-WAGES & SALARIES MECHANICS
6018,SEVERANCE PAYOUTS,6018-SEVERANCE PAYOUTS
6020,OVERTIME,6020-OVERTIME
6021,OVERTIME MECHANICS,6021-OVERTIME MECHANICS
6025,PAYROLL CLEARING,6025-PAYROLL CLEARING
6030,CALL OUTS,6030-CALL OUTS
6040,SALES COMMISSIONS,6040-SALES COMMISSIONS
6045,BRANCH PERFORMANCE BONUS,6045-BRANCH PERFORMANCE BONUS
6050,LONG-TERM INCENTIVE PLAN BONUSES,6050-LONG-TERM INCENTIVE PLAN BONUSES
6053,BENEFITS,6053-BENEFITS
6054,HEALTH & WELLNESS BENEFITS,6054-HEALTH & WELLNESS BENEFITS
6055,CPP-EMPLOYER PORTION,6055-CPP-EMPLOYER PORTION
6056,EMPLOYER PENSION PLAN CONTRIBUTION,6056-EMPLOYER PENSION PLAN CONTRIBUTION
6057,EMPLOYEE TOOL ALLOWANCE,6057-EMPLOYEE TOOL ALLOWANCE
6060,EI-EMPLOYER PORTION,6060-EI-EMPLOYER PORTION
6061,UNION DUES & ADMINISTRATION,6061-UNION DUES & ADMINISTRATION
6062,ALBERTA HEALTH CARE EMPLOYER PORTION,6062-ALBERTA HEALTH CARE EMPLOYER PORTION
6065,WCB,6065-WCB
6070,EMPLOYEE BENEFITS HOURLY - COVID-19,6070-EMPLOYEE BENEFITS HOURLY - COVID-19
6072,EMPLOYEE RECRUITING FEES,6072-EMPLOYEE RECRUITING FEES
6075,CONTRACT LABOUR,6075-CONTRACT LABOUR
6080,EMPLOYEE RELOCATION,6080-EMPLOYEE RELOCATION
6081,EMPLOYEE BENEFITS SALARY - COVID-19,6081-EMPLOYEE BENEFITS SALARY - COVID-19
6082,EMPLOYEE RELATED SERVICES,6082-EMPLOYEE RELATED SERVICES
6083,EMPLOYEE AWARDS AND GIFTS,6083-EMPLOYEE AWARDS AND GIFTS
6095,BENEFITS ALLOCATION,6095-BENEFITS ALLOCATION
6101,TRAINING,6101-TRAINING
6210,VEHICLE LEASE,6210-VEHICLE LEASE
6215,DELIVERY TRUCK LEASE,6215-DELIVERY TRUCK LEASE
6220,VEHICLE FUEL - SERVICE/SALES/ADMIN,6220-VEHICLE FUEL - SERVICE/SALES/ADMIN
6222,RESTRICTED ITC VEHICLE UNDER 3000KG,6222-RESTRICTED ITC VEHICLE UNDER 3000KG
6225,DELIVERY TRUCK FUEL,6225-DELIVERY TRUCK FUEL
6230,SERVICE VEHICLE REPAIR & MAINTENANCE,6230-SERVICE VEHICLE REPAIR & MAINTENANCE
6235,DELIVERY TRUCK REPAIR & MAINTENANCE,6235-DELIVERY TRUCK REPAIR & MAINTENANCE
6240,VEHICLE ALLOWANCE,6240-VEHICLE ALLOWANCE
6250,VEHICLE INSURANCE,6250-VEHICLE INSURANCE
6260,VEHICLE REGISTRATION,6260-VEHICLE REGISTRATION
6290,VEHICLE OTHER,6290-VEHICLE OTHER
6300,FREIGHT - INTER BRANCH,6300-FREIGHT - INTER BRANCH
6310,THIRD PARTY FREIGHT  - CAPITALIZED,6310-THIRD PARTY FREIGHT  - CAPITALIZED
6320,THIRD PARTY FREIGHT - NOT BILLABLE,6320-THIRD PARTY FREIGHT - NOT BILLABLE
6325,CUSTOMS & BROKERAGE,6325-CUSTOMS & BROKERAGE
6500,GOODWILL EXPENSE,6500-GOODWILL EXPENSE
6610,SHOP SUPPLIES,6610-SHOP SUPPLIES
6620,SHOP SMALL TOOLS & REPAIRS,6620-SHOP SMALL TOOLS & REPAIRS
6630,SHOP EQUIP RENTAL/LEASES,6630-SHOP EQUIP RENTAL/LEASES
6640,ENVIRONMENTAL CHARGES,6640-ENVIRONMENTAL CHARGES
6650,UNIFORMS/CLOTHING,6650-UNIFORMS/CLOTHING
6660,SAFETY SUPPLIES & EQUIPMENT,6660-SAFETY SUPPLIES & EQUIPMENT
6670,DECALS & MARKINGS,6670-DECALS & MARKINGS
6710,WARRANTY COST & RECOVERY,6710-WARRANTY COST & RECOVERY
7000,AIR MILES FEES & MARKETING,7000-AIR MILES FEES & MARKETING
7010,MISC INCOME/EXPENSE,7010-MISC INCOME/EXPENSE
7015,INTEREST & BANK CHARGES,7015-INTEREST & BANK CHARGES
7016,INTEREST EXPENSE-FLEET,7016-INTEREST EXPENSE-FLEET
7017,INTEREST EXPENSE-CORPORATE,7017-INTEREST EXPENSE-CORPORATE
7018,VISA/MASTERCARD USER FEES,7018-VISA/MASTERCARD USER FEES
7020,A/R EARLY PAYMENT DISCOUNT,7020-A/R EARLY PAYMENT DISCOUNT
7025,SERVICE CHARGES BILLED TO CUST,7025-SERVICE CHARGES BILLED TO CUST
7030,LICENCES/TAXES/FEES,7030-LICENCES/TAXES/FEES
7035,AMORTIZATION OF DEVELOPMENT COSTS,7035-AMORTIZATION OF DEVELOPMENT COSTS
7050,GAIN/LOSS ON FOREIGN EXCHANGE,7050-GAIN/LOSS ON FOREIGN EXCHANGE
7051,UNREALIZED FOREIGN EXCHANGE GAIN/LOSS,7051-UNREALIZED FOREIGN EXCHANGE GAIN/LOSS
7210,OFFICE SUPPLIES,7210-OFFICE SUPPLIES
7212,POSTAGE & COURIER,7212-POSTAGE & COURIER
7215,SUBSCRIPTIONS/PUBLICATIONS,7215-SUBSCRIPTIONS/PUBLICATIONS
7220,TELEPHONES-OFFICE,7220-TELEPHONES-OFFICE
7222,RESTRICTED ITC TELECOMMUNICATIONS,7222-RESTRICTED ITC TELECOMMUNICATIONS
7225,CELL PHONES,7225-CELL PHONES
7230,ASSOCIATION DUES,7230-ASSOCIATION DUES
7235,DONATIONS,7235-DONATIONS
7240,COMPUTER LEASES & MTCE,7240-COMPUTER LEASES & MTCE
7241,COMPUTER SUPPLIES,7241-COMPUTER SUPPLIES
7245,MODEM/NETWORK CHARGES,7245-MODEM/NETWORK CHARGES
7250,SOFTWARE SUPPORT SERVICES,7250-SOFTWARE SUPPORT SERVICES
7255,OFFICE EQUIP LEASE & MTCE,7255-OFFICE EQUIP LEASE & MTCE
7260,PROFESSIONAL SERVICES,7260-PROFESSIONAL SERVICES
7280,BAD DEBT EXPENSE,7280-BAD DEBT EXPENSE
7290,SUNDRY OFFICE EXPENSE,7290-SUNDRY OFFICE EXPENSE
7310,CATALOGS/PERIODICALS,7310-CATALOGS/PERIODICALS
7320,MARKETING COMMUNICATIONS,7320-MARKETING COMMUNICATIONS
7330,ADVERTISING,7330-ADVERTISING
7340,DIGITAL MARKETING,7340-DIGITAL MARKETING
7350,BRAND SIGNAGE & DECALS,7350-BRAND SIGNAGE & DECALS
7360,PROMOTIONAL MERCHANDISE,7360-PROMOTIONAL MERCHANDISE
7370,EVENT MARKETING,7370-EVENT MARKETING
7375,SPONSORSHIPS,7375-SPONSORSHIPS
7380,MEALS FOR CUSTOMER PROMOTION,7380-MEALS FOR CUSTOMER PROMOTION
7410,TRAVEL & ACCOMODATION,7410-TRAVEL & ACCOMODATION
7420,MEALS,7420-MEALS
7425,TRAVEL ENTERTAINMENT,7425-TRAVEL ENTERTAINMENT
7430,CUSTOMER PROMOTION & ENTERTAIN,7430-CUSTOMER PROMOTION & ENTERTAIN
7435,MANAGERS MEETING EXPENSES,7435-MANAGERS MEETING EXPENSES
7440,REGIONAL MEETING EXPENSES,7440-REGIONAL MEETING EXPENSES
7442,SALES MEETING EXPENSES,7442-SALES MEETING EXPENSES
7444,RESTRICTED ITC MEALS & ENTERTAINMENT,7444-RESTRICTED ITC MEALS & ENTERTAINMENT
7445,OTHER TRAVEL EXPENSE,7445-OTHER TRAVEL EXPENSE
7510,BUILDING LEASE,7510-BUILDING LEASE
7520,BUILDING & YARD MTCE,7520-BUILDING & YARD MTCE
7530,JANITORIAL,7530-JANITORIAL
7535,CONTAMINATION CONTROL COMPLIANCE,7535-CONTAMINATION CONTROL COMPLIANCE
7540,UTILITIES-POWER,7540-UTILITIES-POWER
7541,UTILITIES-WATER,7541-UTILITIES-WATER
7542,UTILITIES-NATURAL GAS,7542-UTILITIES-NATURAL GAS
7550,PROPERTY TAXES,7550-PROPERTY TAXES
7555,OTHER PROPERTY COSTS,7555-OTHER PROPERTY COSTS
7560,GENERAL LIABILITY INSURANCE,7560-GENERAL LIABILITY INSURANCE
7570,DEPRECIATION ON FIXED ASSETS,7570-DEPRECIATION ON FIXED ASSETS
7580,DEPRECIATION - ROU FURNITURE,7580-DEPRECIATION - ROU FURNITURE
7581,DEPRECIATION - ROU COMPUTORS,7581-DEPRECIATION - ROU COMPUTORS
7582,DEPRECIATION - ROU VEHICLES,7582-DEPRECIATION - ROU VEHICLES
7583,DEPRECIATION - ROU EQUIPMENT,7583-DEPRECIATION - ROU EQUIPMENT
7584,DEPRECIATION - ROU BUILDINGS,7584-DEPRECIATION - ROU BUILDINGS
8010,GAIN/LOSS ON SALE OF FIXED ASSETS,8010-GAIN/LOSS ON SALE OF FIXED ASSETS
8101,LOSS SALE FIXED ASSETS(NON-RENT FLEET,8101-LOSS SALE FIXED ASSETS(NON-RENT FLEET
8150,UNUSUAL GAINS/LOSSES-RESTRUCTURING,8150-UNUSUAL GAINS/LOSSES-RESTRUCTURING
8151,UNUSUAL ITEMS - PROPERTY DISPOSAL,8151-UNUSUAL ITEMS - PROPERTY DISPOSAL
8159,UNUSUAL GAINS/LOSSES-OTHER,8159-UNUSUAL GAINS/LOSSES-OTHER
8210,CORPORATE INCOME TAX - FEDERAL,8210-CORPORATE INCOME TAX - FEDERAL
8215,PROVINCIAL CORPORATE TAXES-ALTA,8215-PROVINCIAL CORPORATE TAXES-ALTA
8220,PROVINCIAL CORPORATE TAXES-BC,8220-PROVINCIAL CORPORATE TAXES-BC
9010,OVERDRAFT INTEREST EXPENSE,9010-OVERDRAFT INTEREST EXPENSE
9011,RSIP INTEREST EXPENSE,9011-RSIP INTEREST EXPENSE
9012,AMORTIZATION OF ROU INTEREST,9012-AMORTIZATION OF ROU INTEREST
9015,CORPORATE ALLOCATIONS,9015-CORPORATE ALLOCATIONS
9320,UNUSUAL ITEMS,9320-UNUSUAL ITEMS
